Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-02-15 17:35:58,false,"Leiden - 500m @4m/k x4","6.98","566","00:46:57","150","194","150","176","6:44","3:45","14","14","0.97","0.0","7,022","No","00:00:01.7","17","00:46:32","00:46:57","-3","8"
Running,2025-02-13 08:34:01,false,"Paris Running","9.25","791","01:00:15","153","172","158","199","6:31","5:27","171","173","0.97","0.0","9,446","No","00:01:33.0","10","00:59:58","01:01:03","20","54"
Running,2025-02-09 16:11:45,false,"Leiden Running","16.01","1,311","01:47:55","146","165","157","183","6:45","5:54","24","22","0.94","0.0","16,854","No","00:00:02.5","17","01:47:52","01:47:55","-6","8"
Running,2025-02-06 08:41:24,false,"Leiden Running","5.01","413","00:24:47","180","192","160","169","4:57","4:08","10","13","1.26","0.0","3,926","No","00:00:01.4","6","00:24:46","00:24:47","2","7"
Running,2025-02-03 09:16:05,false,"Leiden - Base","5.37","454","00:33:03","157","171","156","165","6:09","5:33","10","10","1.04","0.0","5,114","No","00:00:03.4","7","00:33:02","00:33:03","2","8"
Running,2025-02-01 17:17:59,false,"Leiden - Base","10.02","849","01:03:44","159","173","155","165","6:22","5:40","20","21","1.01","0.0","9,834","No","00:01:56.0","11","01:03:43","01:03:44","-3","8"
Running,2025-01-29 17:28:13,false,"Leiden Running","1.58","145","00:12:37","145","154","150","163","8:00","7:14","4","2","0.83","0.0","1,918","No","00:06:06.2","2","00:12:24","00:12:37","1","7"
Running,2025-01-29 16:54:34,false,"Leiden - 500m @4m/k x4","5.36","429","00:32:31","151","178","157","179","6:04","3:45","4","6","1.04","0.0","5,056","No","00:01:43.5","10","00:32:28","00:32:31","-3","7"
Running,2025-01-27 12:40:55,false,"Leiden - Base","5.29","438","00:31:43","157","175","160","166","6:00","5:04","7","8","1.04","0.0","5,034","No","00:01:43.1","6","00:31:42","00:31:43","2","8"
Running,2025-01-25 15:33:12,false,"Leiden Running","0.30","14","00:01:13.3","126","142","163","187","4:01","2:59","--","--","1.53","0.0","200","No","00:01:13.3","1","00:01:13","00:01:13.3","4","6"
Running,2025-01-25 14:01:06,false,"Leiden Running","12.15","1,016","01:19:58","148","162","158","177","6:35","5:22","29","31","0.96","0.0","12,584","No","00:01:00.3","13","01:19:29","01:20:19","-3","12"
Running,2025-01-21 07:13:53,false,"Leiden - Base","5.32","442","00:32:02","155","174","161","171","6:01","5:23","7","7","1.03","0.0","5,106","No","00:00:02.1","7","00:32:00","00:32:02","2","8"
Running,2025-01-19 11:00:19,false,"Leiden - Base","12.00","1,040","01:15:46","163","182","161","171","6:19","5:22","27","26","0.98","0.0","12,072","No","00:01:57.8","13","01:15:41","01:15:52","-3","9"
Running,2025-01-17 17:03:56,false,"Leiden - Base","5.72","496","00:35:46","164","178","157","166","6:15","5:38","4","4","1.02","0.0","5,586","No","00:00:07.7","7","00:35:37","00:36:01","2","9"
Running,2025-01-11 15:17:46,false,"Leiden Running","12.00","1,050","01:19:51","161","175","157","167","6:39","5:49","19","17","0.96","0.0","12,460","No","00:00:01.5","13","01:19:19","01:19:51","-3","9"
Running,2025-01-07 17:07:29,false,"Leiden - Base","5.22","444","00:31:53","158","177","157","218","6:07","4:47","10","11","1.04","0.0","4,978","No","00:00:33.6","7","00:31:52","00:31:53","2","8"
Running,2025-01-04 13:37:39,false,"Leiden Running","12.01","958","01:14:33","137","149","159","172","6:13","4:53","25","25","1.01","0.0","11,758","No","00:00:02.2","13","01:14:25","01:14:33","-3","9"
